FACT-043640|3129|3|NIFEDIPINA LP30 MG X 30 CAP LP|7591585118431|4.00|895.51|3582.04|0.00|88.57|023|2026-09-01|2025-01-02 10:00:25|411939188|1|LETI
FACT-043640|3128|4|NIFEDIPINA LP30MG X 10 CAP LP|7591585218438|12.00|317.29|3807.48|0.00|31.38|020|2026-06-01|2025-01-02 10:00:25|411939188|1|LETI
FACT-043640|3130|5|NIFEDIPINA LP60 MG X 10 CAP LP|7591585218421|3.00|382.56|1147.68|0.00|0.00|004|2026-08-01|2025-01-02 10:00:25|411939188|1|LETI
FACT-043640|430|6|OMEGA 3691000 MG X 60 CAPS BLANDAS|7592946169659|2.00|512.31|1024.62|0.00|0.00|1224/9659|2026-11-01|2025-01-02 10:00:25|411939188|1|ARCOIRIS
FACT-043640|1583|7|OMEPRAZOL20MG X 8 CAP|7591585573810|12.00|71.09|853.08|0.00|0.00|533|2026-10-01|2025-01-02 10:00:25|411939188|1|GENVEN
FACT-043640|396|8|SIMETICONA80MGML SUSP X 20 ML|7591818210406|2.00|374.19|748.38|0.00|82.14|30166|2025-06-01|2025-01-02 10:00:25|411939188|1|COFASA
FACT-043641|702|9|GENTAMICINA0.3 X 10ML SOL OFTAL|7598252101390|3.00|203.32|609.96|0.00|0.00|2308023|2026-08-01|2025-01-02 10:02:49|411939188|1|DISTRILAB
FACT-043641|110|10|GLIMEPIRIDE2MG X 16 TAB|7703763165056|3.00|187.28|561.84|0.00|0.00|3507251|2026-07-01|2025-01-02 10:02:49|411939188|1|LA SANTE
FACT-043641|211|11|HEXOMEDINE COLUTORIO30 GRAMOS PUFF|7591044401463|2.00|336.69|673.38|0.00|0.00|035871|2026-09-01|2025-01-02 10:02:49|411939188|1|CALOX
FACT-043641|3121|12|LOSARTAN POTASICOHCTZ50MG-125MG X 30 COMP REC|7591585278739|6.00|294.56|1767.36|0.00|0.00|108|2027-10-01|2025-01-02 10:02:49|411939188|1|GENVEN
FACT-043641|1260|13|LOSARTAN POTASICO100MG X 10 TAB|7591585278920|3.00|135.51|406.53|0.00|0.00|192|2027-04-01|2025-01-02 10:02:49|411939188|1|GENVEN
FACT-043641|138|14|LOSARTAN POTASICO100MG X 10 TAB|7592454891165|3.00|126.50|379.50|0.00|0.00|3507761|2026-09-01|2025-01-02 10:02:49|411939188|1|LA SANTE
FACT-043641|804|15|LOSARTAN POTASICO100MG X 30 COMP|7591585378927|3.00|350.06|1050.18|0.00|0.00|200|2027-08-01|2025-01-02 10:02:49|411939188|1|GENVEN
FACT-043641|1264|16|LOSARTAN POTASICO50MG X 30 COMP|7591585278951|6.00|179.76|1078.56|0.00|0.00|452|2026-08-01|2025-01-02 10:02:49|411939188|1|GENVEN
FACT-043642|1588|17|COMPLEJO B B1B6B12  LIDOCAINA3ML X 1 AMP SOL INYECT IM|7591585213389|3.00|102.21|306.63|0.00|0.00|085|2026-07-01|2025-01-02 10:04:12|411939188|1|LETI
FACT-043642|1588|18|COMPLEJO B B1B6B12  LIDOCAINA3ML X 1 AMP SOL INYECT IM|7591585213389|3.00|102.21|306.63|0.00|0.00|085|2026-07-01|2025-01-02 10:04:12|411939188|1|LETI
FACT-043642|1715|19|COMPLEJO B B1B6B12  LIDOCAINA3ML X 3 AMP SOL INYECT IM|7591585113382|6.00|197.51|1185.06|0.00|0.00|089|2026-09-01|2025-01-02 10:04:12|411939188|1|LETI
FACT-043642|1261|20|DICLOFENAC POTASICO50MG X 10 TAB|7591585279248|100.00|28.40|2840.00|0.00|0.00|859|2027-10-01|2025-01-02 10:04:12|411939188|1|GENVEN
